mode;room;n samples;MSE spectrogram;MSE magnitude;1-cos(y-y_) phase;MSE waveform;MSE waveform 50ms;Misalignment magnitude;Misalignment waveform;SDR;Similarity
TFTRT_FP16;Small;7;0,8311;0,0004;0,0324;5,4507e-08;1,8919e-07;-4,5349;0,91491;5,4507e-08;0,14759
TFTRT_FP16;Small;7;0,8311;0,0004;0,0324;9,6099e-08;3,3408e-07;-4,5349;3,3336;9,6099e-08;0,23344
TFTRT_FP16;Small;7;0,8311;0,0004;0,0324;6,3502e-08;2,1238e-07;-4,5349;1,7721;6,3502e-08;0,2277
TFTRT_FP32;Small;7;0,839;0,0004;0,0305;5,4086e-08;1,8768e-07;-4,6637;0,85648;5,4086e-08;0,13766
TFTRT_FP32;Small;7;0,839;0,0004;0,0305;9,2751e-08;3,2071e-07;-4,6637;3,1216;9,2751e-08;0,23534
TFTRT_FP32;Small;7;0,839;0,0004;0,0305;6,3541e-08;2,1251e-07;-4,6637;1,7775;6,3541e-08;0,22775
Checkpoint;Small;7;0,8393;0,0004;0,0305;5,5569e-08;1,9362e-07;-4,6598;0,93316;5,5569e-08;0,13696
Checkpoint;Small;7;0,8393;0,0004;0,0305;9,8232e-08;3,4304e-07;-4,6598;3,3117;9,8232e-08;0,23458
Checkpoint;Small;7;0,8393;0,0004;0,0305;6,3551e-08;2,1259e-07;-4,6598;1,7783;6,3551e-08;0,22776
TFTRT_FP16_1GB;Small;7;0,8314;0,0004;0,0322;5,4325e-08;1,8848e-07;-4,5365;0,84458;5,4325e-08;0,14195
TFTRT_FP16_1GB;Small;7;0,8314;0,0004;0,0322;9,4659e-08;3,2893e-07;-4,5365;3,2025;9,4659e-08;0,23564
TFTRT_FP16_1GB;Small;7;0,8314;0,0004;0,0322;6,3499e-08;2,1237e-07;-4,5365;1,7721;6,3499e-08;0,22771
TF_FP32;Small;7;0,8393;0,0004;0,0305;5,7648e-08;2,0174e-07;-4,6597;0,97692;5,7648e-08;0,14398
TF_FP32;Small;7;0,8393;0,0004;0,0305;1,0357e-07;3,6364e-07;-4,6597;3,4691;1,0357e-07;0,24092
TF_FP32;Small;7;0,8393;0,0004;0,0305;6,3575e-08;2,1268e-07;-4,6597;1,7798;6,3575e-08;0,22777
